"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
,45 to 64 years,133,121,106,79.7,4.3,87.6,3.8,98,74.2,4.4,81.6,3.9
,65 years and over,91,86,74,81.2,4.8,86.7,4.3,71,78.2,5.3,83.4,4.9
FLORIDA,Total,"18,333","16,092","10,788",58.8,2,67,2.2,"9,703",52.9,1.7,60.3,1.9
,18 to 24 years,"1,923","1,675",784,40.8,5.2,46.8,5.8,616,32.1,5.2,36.8,5.9
,25 to 34 years,"2,793","2,366","1,445",51.7,3.8,61.1,4.3,"1,215",43.5,4,51.4,4.3
,35 to 44 years,"2,767","2,323","1,501",54.2,4,64.6,4.3,"1,319",47.7,3.9,56.8,4.2
,45 to 64 years,"5,826","5,010","3,421",58.7,3.3,68.3,3.4,"3,146",54,3.1,62.8,3.2
,65 years and over,"5,025","4,718","3,637",72.4,2.8,77.1,2.7,"3,406",67.8,2.7,72.2,2.6
GEORGIA,Total,"8,431","7,624","5,401",64.1,2.9,70.8,2.8,"4,908",58.2,2.7,64.4,2.6
,18 to 24 years,935,889,520,55.6,8.5,58.5,8.7,440,47.1,7.6,49.6,8
,25 to 34 years,"1,571","1,341",876,55.8,5.4,65.4,5.4,733,46.6,5.6,54.7,5.5
,35 to 44 years,"1,435","1,192",779,54.3,6.4,65.4,6,706,49.2,5.9,59.2,5.8
,45 to 64 years,"2,729","2,487","1,860",68.2,4.3,74.8,4.2,"1,736",63.6,4.4,69.8,4.2
,65 years and over,"1,761","1,716","1,366",77.6,4.3,79.6,4.1,"1,294",73.5,4.6,75.4,4.4
HAWAII,Total,"1,077","1,004",679,63.1,3,67.6,3,587,54.5,3.4,58.5,3.4
,18 to 24 years,114,108,48,41.9,9.4,44.3,9.4,41,36.2,9.1,38.3,9.1
,25 to 34 years,158,148,94,59.1,7.6,63.5,7.8,72,45.5,8.3,48.8,8.6
,35 to 44 years,159,142,98,61.8,6.5,69.2,6.2,79,49.9,7.3,55.9,7.4
,45 to 64 years,328,301,209,63.7,5.3,69.5,5.3,178,54.2,6.2,59.1,6.2
,65 years and over,317,306,230,72.6,4,75.4,3.9,216,68.2,4.1,70.8,4
IDAHO,Total,"1,517","1,428","1,017",67,2,71.2,2.1,932,61.4,2.1,65.2,2.2
,18 to 24 years,183,175,93,50.7,6.8,53,7,84,45.7,7,47.8,7.2
,25 to 34 years,276,262,165,59.7,4.6,62.8,5.1,140,50.6,5.5,53.2,5.6
,35 to 44 years,253,215,157,62,5.7,73,5.1,141,55.6,5.8,65.4,5.6
,45 to 64 years,464,442,339,73,3.5,76.8,3.3,316,68.1,3.8,71.6,3.7
,65 years and over,340,333,263,77.3,3.9,78.9,3.9,251,73.9,4,75.4,4
ILLINOIS,Total,"9,793","8,830","6,780",69.2,2.7,76.8,2.6,"5,817",59.4,3,65.9,3
,18 to 24 years,"1,194","1,123",690,57.8,6.6,61.4,7.1,558,46.7,6.1,49.7,6.5
,25 to 34 years,"1,638","1,368",989,60.4,4.9,72.3,4.8,744,45.4,5.6,54.4,6.1
,35 to 44 years,"1,677","1,437","1,118",66.7,5.6,77.8,4.8,956,57,5.7,66.6,5.4
,45 to 64 years,"3,166","2,849","2,308",72.9,4,81,3.8,"2,049",64.7,4.5,71.9,4.3
,65 years and over,"2,118","2,054","1,675",79.1,3.8,81.5,3.6,"1,509",71.2,4.4,73.5,4.2
INDIANA,Total,"5,191","4,801","3,536",68.1,3.7,73.7,3.3,"2,912",56.1,3.6,60.7,3.4
,18 to 24 years,585,531,330,56.4,8.5,62.1,8.7,257,44,7.5,48.4,7.2
,25 to 34 years,951,833,558,58.7,6.6,67,5.9,398,41.8,7.2,47.8,7.3
,35 to 44 years,832,747,547,65.8,5.6,73.3,5.1,443,53.3,6.2,59.3,6.9
,45 to 64 years,"1,723","1,611","1,219",70.8,4.5,75.7,4.2,"1,024",59.5,4.8,63.6,4.8
,65 years and over,"1,100","1,079",882,80.1,4.9,81.7,4.7,789,71.7,4.9,73.2,4.7
IOWA,Total,"2,462","2,310","1,861",75.6,3.9,80.6,3.7,"1,658",67.4,4.7,71.8,4.4
,18 to 24 years,327,311,201,61.5,10.2,64.7,10.9,173,52.9,10.1,55.7,10.7
,25 to 34 years,383,356,290,75.8,8.5,81.5,7.7,252,65.8,9.2,70.8,8.4
,35 to 44 years,415,383,300,72.4,8.5,78.5,7.6,268,64.7,9.6,70.1,9.3
,45 to 64 years,776,712,588,75.8,6.1,82.6,5.4,521,67.1,6.5,73.1,6
,65 years and over,562,548,481,85.5,5.1,87.7,4.7,445,79.1,5.7,81.1,5.5
KANSAS,Total,"2,203","2,041","1,628",73.9,5.1,79.8,4.5,"1,443",65.5,5.7,70.7,5.6
,18 to 24 years,286,259,159,55.4,11.1,61.3,9.2,132,46,9.3,50.9,8.4
,25 to 34 years,322,286,213,66.2,7,74.7,7,163,50.7,8.2,57.2,8.8
,35 to 44 years,416,374,299,71.9,7.4,80,6.5,262,62.9,9,70,8.6
,45 to 64 years,665,625,529,79.6,7.6,84.6,7.2,489,73.5,7.7,78.2,8.1
,65 years and over,514,497,428,83.3,5.7,86,5.5,398,77.4,7.1,79.9,7.1
KENTUCKY,Total,"3,405","3,178","2,558",75.1,4.2,80.5,3.2,"2,152",63.2,4.3,67.7,3.6
,18 to 24 years,335,277,163,48.7,11.5,58.9,10.1,103,30.6,10.5,37,11
,25 to 34 years,481,435,365,75.8,7.6,84,7.5,266,55.2,10.7,61.1,10.9
,35 to 44 years,665,616,458,68.9,8.4,74.3,8,384,57.8,8.9,62.3,8.1
,45 to 64 years,"1,161","1,091",943,81.3,4.5,86.5,3.4,824,71,4.5,75.6,4.6
,65 years and over,763,759,628,82.3,6.3,82.7,6.3,576,75.4,6.9,75.8,7
LOUISIANA,Total,"3,400","3,273","2,160",63.5,3.6,66,3.6,"1,897",55.8,3.7,58,3.6
,18 to 24 years,380,371,177,46.6,7.5,47.6,7.8,142,37.3,6.9,38.1,7.1
,25 to 34 years,559,529,308,55,6.4,58.1,6.3,253,45.2,6.7,47.7,6.8
,35 to 44 years,600,550,339,56.5,6.5,61.6,6.7,301,50.1,6,54.7,6.1
,45 to 64 years,"1,083","1,055",743,68.6,4.6,70.5,4.8,656,60.5,4,62.2,4.1
,65 years and over,778,768,593,76.3,4.3,77.3,4.2,546,70.2,4.7,71.1,4.6
MAINE,Total,"1,141","1,123",831,72.8,4,74,4,753,66,3.5,67.1,3.5
,18 to 24 years,69,69,34,49.9,15.8,49.9,15.8,26,38.5,16.6,38.5,16.6
,25 to 34 years,195,189,125,64.4,11.7,66.4,11.7,109,55.9,10.7,57.6,10.7
,35 to 44 years,189,185,122,64.5,11.2,65.7,11.2,107,56.8,10.5,57.9,10.7
,45 to 64 years,333,327,244,73.3,6.2,74.5,6.2,213,63.9,6.3,65,6.3
,65 years and over,357,353,306,85.7,3.9,86.5,3.8,298,83.6,4.2,84.5,4.1
MARYLAND,Total,"4,785","4,350","3,497",73.1,3.5,80.4,3.2,"3,091",64.6,3.7,71.1,3.6
,18 to 24 years,463,410,304,65.7,10.9,74.1,10.3,243,52.6,10.6,59.3,10.7
,25 to 34 years,840,675,517,61.5,8.5,76.5,7.6,474,56.5,8.8,70.2,8.5
,35 to 44 years,839,719,612,73,6.4,85.1,5,520,62,7.9,72.3,7.5
,45 to 64 years,"1,364","1,297","1,056",77.4,4.7,81.4,4.4,947,69.4,4.9,73,4.8
,65 years and over,"1,280","1,248","1,008",78.8,4.7,80.8,4.8,905,70.8,5,72.6,5.2
MASSACHUSETTS,Total,"5,620","4,947","3,728",66.3,3.1,75.4,3,"3,408",60.6,3,68.9,3.1
,18 to 24 years,647,556,388,59.9,9.1,69.8,8.6,318,49.2,8.6,57.3,8.7
,25 to 34 years,967,783,522,54,6.3,66.7,6.7,449,46.4,6.5,57.3,7
,35 to 44 years,939,795,607,64.7,5.3,76.4,5.2,557,59.3,5.6,70,5.4
,45 to 64 years,"1,836","1,648","1,280",69.7,4,77.7,4,"1,208",65.8,4.2,73.3,4.1
